Ten_Nuoc_Hoa,Gioi_Tinh,Hoan_Canh,Mua,Nhom_Huong,Luu_Huong
Yves Saint Laurent La Nuit L'Homme,Nam,Hẹn hò,Thu Đông,Gỗ,Trung bình
Narciso Rodriguez Poudree,Nữ,Hẹn hò,Thu Đông,Phấn,Lâu
Armaf Club De Nuit Blue Iconic,Nam,Đa dụng,Mọi mùa,Tươi mát,Lâu
Jean Paul Gaultier Ultra Male,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Versace Pour Homme,Nam,Đi làm,Xuân Hạ,Tươi mát,Trung bình
Bleu De Chanel EDP,Nam,Đa dụng,Mọi mùa,Gỗ,Lâu
Dior Sauvage EDT,Nam,Đa dụng,Mọi mùa,Tươi mát,Lâu
Chanel Coco Mademoiselle,Nữ,Đi làm,Mọi mùa,Hoa cỏ,Lâu
Yves Saint Laurent Y EDP,Nam,Đa dụng,Mọi mùa,Tươi mát,Lâu
Terre d'Hermes,Nam,Đi làm,Xuân Hạ,Gỗ,Lâu
Giorgio Armani Acqua Di Gio,Nam,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Prada L'Homme,Nam,Đi làm,Mọi mùa,Phấn,Trung bình
Creed Aventus,Nam,Đa dụng,Mọi mùa,Trái cây,Lâu
Viktor&Rolf Spicebomb Extreme,Nam,Tiệc tùng,Thu Đông,Gia vị,Rất lâu
Tom Ford Oud Wood,Unisex,Hẹn hò,Thu Đông,Gỗ,Lâu
Bvlgari Aqva Pour Homme,Nam,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Hugo Boss Bottled,Nam,Đi làm,Thu Đông,Gỗ,Trung bình
Paco Rabanne 1 Million,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Lâu
Maison Margiela Jazz Club,Unisex,Hẹn hò,Thu Đông,Ngọt ngào,Lâu
Dior J'adore,Nữ,Đi làm,Xuân Hạ,Hoa cỏ,Lâu
Yves Saint Laurent Libre,Nữ,Đa dụng,Mọi mùa,Hoa cỏ,Lâu
Lancome La Vie Est Belle,Nữ,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Tom Ford Black Orchid,Unisex,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Marc Jacobs Daisy,Nữ,Đa dụng,Xuân Hạ,Hoa cỏ,Trung bình
Jo Malone Wood Sage & Sea Salt,Unisex,Đi làm,Xuân Hạ,Tươi mát,Trung bình
Mugler Alien,Nữ,Tiệc tùng,Thu Đông,Hoa cỏ,Rất lâu
Carolina Herrera Good Girl,Nữ,Hẹn hò,Thu Đông,Ngọt ngào,Lâu
Maison Francis Kurkdjian Baccarat Rouge 540,Unisex,Tiệc tùng,Mọi mùa,Ngọt ngào,Rất lâu
Le Labo Santal 33,Unisex,Đa dụng,Mọi mùa,Gỗ,Lâu
Byredo Gypsy Water,Unisex,Đi làm,Xuân Hạ,Tươi mát,Trung bình
Gucci Bloom,Nữ,Đa dụng,Xuân Hạ,Hoa cỏ,Lâu
Versace Eros,Nam,Tiệc tùng,Mọi mùa,Ngọt ngào,Lâu
Dolce & Gabbana Light Blue,Nữ,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Narciso Rodriguez For Her EDP,Nữ,Hẹn hò,Mọi mùa,Hoa cỏ,Lâu
Chanel Chance Eau Tendre,Nữ,Đi làm,Xuân Hạ,Hoa cỏ,Trung bình
Jo Malone English Pear & Freesia,Nữ,Đi làm,Xuân Hạ,Trái cây,Trung bình
Tom Ford Tobacco Vanille,Unisex,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Azzaro Wanted By Night,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Lâu
Montblanc Explorer,Nam,Đa dụng,Mọi mùa,Gỗ,Trung bình
Hermes Twilly d'Hermes,Nữ,Đa dụng,Mọi mùa,Hoa cỏ,Lâu
Guerlain Mon Guerlain,Nữ,Hẹn hò,Thu Đông,Hoa cỏ,Lâu
Burberry Her,Nữ,Đa dụng,Xuân Hạ,Trái cây,Lâu
Givenchy L'Interdit,Nữ,Hẹn hò,Thu Đông,Hoa cỏ,Lâu
Chloe EDP,Nữ,Đi làm,Xuân Hạ,Hoa cỏ,Lâu
Valentino Donna Born In Roma,Nữ,Tiệc tùng,Mọi mùa,Ngọt ngào,Lâu
Paco Rabanne Invictus,Nam,Đa dụng,Xuân Hạ,Tươi mát,Lâu
Jean Paul Gaultier Le Male,Nam,Tiệc tùng,Thu Đông,Phấn,Lâu
Roja Elysium,Nam,Đa dụng,Xuân Hạ,Tươi mát,Lâu
Parfums de Marly Layton,Nam,Hẹn hò,Thu Đông,Gia vị,Rất lâu
Xerjoff Naxos,Unisex,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Nishane Hacivat,Unisex,Đa dụng,Mọi mùa,Trái cây,Lâu
Amouage Reflection Man,Nam,Đi làm,Mọi mùa,Hoa cỏ,Lâu
Initio Oud for Greatness,Unisex,Tiệc tùng,Thu Đông,Gỗ,Rất lâu
Kilian Angels' Share,Unisex,Hẹn hò,Thu Đông,Ngọt ngào,Rất lâu
Mancera Red Tobacco,Unisex,Tiệc tùng,Thu Đông,Gia vị,Rất lâu
Montale Intense Cafe,Unisex,Đa dụng,Thu Đông,Ngọt ngào,Lâu
Armaf Club de Nuit Intense Man,Nam,Đa dụng,Mọi mùa,Trái cây,Lâu
Rasasi Hawas,Nam,Tiệc tùng,Xuân Hạ,Tươi mát,Lâu
Lattafa Asad,Nam,Hẹn hò,Thu Đông,Gia vị,Lâu
